曲名,収録CD,リリース年,タイアップ、備考,クレジット,タイプ
A・RA・SHI,A・RA・SHI | ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ-,1999,フジテレビ系「バレーボールワールドカップ1999」イメージソング,作詞：J&T / 作曲・編曲：馬飼野康二,シングル
明日に向かって,A・RA・SHI,1999,フジテレビ系ドラマ「Vの嵐」主題歌,作詞：大塚雄三 / 作曲・編曲：馬飼野康二,カップリング
SUNRISE日本,SUNRISE日本/HORIZON | ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ-,2000,フジテレビ系「プロ野球ニュース2000」テーマソング,作詞：F&T / 作曲：馬飼野康二 / 編曲：CHOKKAKU,シングル
HORIZON,SUNRISE日本/HORIZON,2000,第31回「春の高校バレー」テーマソング,作詞：TAKESHI / 作曲：谷本新,シングル
台風ジェネレーション,台風ジェネレーション | ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ-,2000,フジテレビイベント「お台場どっと混む!」テーマソング/ブルボン「プチシリーズ」CMソング,作詞：久保田洋司 / 作曲：馬飼野康二,シングル
明日に向かって吠えろ,台風ジェネレーション,2000,シドニーオリンピック男子バレーボール最終予選テーマソング,作詞：久世まりあ / 作曲：谷本新 / 編曲：CHOKKAKU,カップリング
感謝カンゲキ雨嵐,感謝カンゲキ雨嵐 | ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ-,2000,フジテレビ系ドラマ「涙をふいて」オープニングテーマ,作詞：戸沢暢美 / 作曲：馬飼野康二 / 編曲：CHOKKAKU,シングル
OK!ALL RIGHT!いい恋をしよう,感謝カンゲキ雨嵐,2000,,作詞：久保田洋司 / 作曲：谷本新 / 編曲：CHOKKAKU,カップリング
君のために僕がいる,君のために僕がいる,2001,森永乳業エスキモー「ピノ」CMソング,作詞：大倉浩平 / 作曲・編曲：馬飼野康二,シングル
はなさない!,君のために僕がいる,2001,,作詞：牧穂エミ / 作曲・編曲：長岡成貢,カップリング
時代,時代,2001,日本テレビ系ドラマ「金田一少年の事件簿」主題歌,作詞・作曲：TSUKASA / 編曲：CHOKKAKU,シングル
恋はブレッキー,時代,2001,TBS系「USO!?ジャパン」テーマソング,作詞：久世まりあ / 作曲：馬飼野康二 / 編曲：CHOKKAKU,カップリング
DANGAN-LINER,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：TAKESHI / 作曲：谷本新 / 編曲：CHOKKAKU,アルバム
サワレナイ,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：戸田暢美 / 作曲・編曲：庄野賢一,アルバム
愛と勇気とチェリーパイ,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：戸田暢美 / 作曲・編曲：岩田雅之,アルバム
Deepな冒険,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：戸田暢美 / 作曲：飯田建彦 / 編曲：CHOKKAKU,アルバム
helpless,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：椎名祐生 / 作曲：ZAKI / 編曲：岩田雅之,アルバム
Oh Sunday,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,日本テレビ系ドラマ「史上最悪のデート」主題歌,作詞：戸田暢美 / 作曲：守山茂樹 / 編曲：宗像仁志,アルバム
野性を知りたい,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,ブルボン「プチシリーズ」CMソング,作詞：久保田洋司 / 作曲・編曲：ZAKI,アルバム
アレルギー,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,,作詞：TAKESHI / 作曲・編曲：岩田雅之,アルバム
ココロチラリ,ARASHI NO.1(ICHIGO)-嵐は嵐を呼ぶ- | ウラ嵐マニア,2001,日本マクドナルド「オイシサの嵐キャンペーン」CMソング,作詞：TAKESHI / 作曲・編曲：原一博,アルバム
a Day in Our Life,a Day in Our Life | HERE WE GO!,2002,TBS系ドラマ「木更津キャッツアイ」主題歌/映画「木更津キャッツアイ 日本シリーズ」「木更津キャッツアイ ワールドシリーズ」主題歌,作詞・作曲・編曲：SHUN・SHUYA,シングル
ナイスな心意気,ナイスな心意気 | HERE WE GO!,2002,フジテレビ系アニメ「こちら葛飾区亀有公園前派出所」エンディングテーマ,作詞：戸田暢美 / 作曲：飯田建彦 / 編曲：石塚知生,シングル
PIKA☆NCHI,PIKA☆NCHI | How's it going?,2002,映画「ピカ☆ンチ LIFE IS HARDだけどHAPPY」主題歌,作詞：相田毅 / 作曲：谷本新 / 編曲：CHOKKAKU,シングル
道,PIKA☆NCHI,2002,映画「ピカ☆ンチ LIFE IS HARDだけどHAPPY」挿入歌,作詞：河原雅彦 / 作曲・編曲：辻陽,カップリング
Theme of ARASHI,HERE WE GO!,2002,,"作詞：岩田雅之 / Rap詞：SHOW / 作曲・編曲：岩田雅之, Larry Hochman",アルバム
Easy Crazy Break Down,HERE WE GO!,2002,第33回「春の高校バレー」イメージソング,"作詞：戸沢暢美 / 作曲：Michael Clauss, Clas Wrigsell / 編曲：鈴木雅也",アルバム
君は少しも悪くない,HERE WE GO!,2002,,作詞：戸田暢美 / 作曲・編曲：岩田雅之,アルバム
Tokyo Lovers Tune Night,HERE WE GO!,2002,,"作詞：久保田洋司 / 作曲・編曲：Charles Hodgkinson, Sagat Guirey, Kirk Zavieh",アルバム
"ALL or NOTHING Ver,1.02",HERE WE GO! | ウラ嵐マニア,2002,,作詞：TAKESH AIDA / Rap詞：SHOW / 作曲・編曲：ZAKI,アルバム
眠らないカラダ,HERE WE GO!,2002,,"作詞：Tkaaki Amamoto / 作曲：Hiroshi Yamamoto / 編曲：Umito Yamamotokun, 安部潤",アルバム
君はいないから,HERE WE GO!,2002,,作詞：久保田洋司 / 作曲：寺田一郎 / 編曲：岩田雅之,アルバム
IROあせないで,HERE WE GO!,2002,森永乳業エスキモー「ピノ」CMソング,作詞：戸田暢美 / 作曲：飯田建彦 / 編曲：CHOKKAKU,アルバム
愛してると言えない,HERE WE GO!,2002,ブルボン「プチシリーズ」CMソング,作詞：戸田暢美 / 作曲・編曲：長岡成貢,アルバム
星のFreeWay,HERE WE GO!,2002,「ARASHI ファンツアー イン ハワイ」CMソング,作詞：比留間徹 / 作曲・編曲：ZAKI,アルバム
いま愛を語ろう,HERE WE GO!,2002,,作詞：六ツ見純代 / 作曲：飯田建彦 / 編曲：鈴木雅也,アルバム
WOW!!,HERE WE GO!,2002,,作詞・作曲・編曲：渡辺和紀,アルバム
とまどいながら,とまどいながら | How's it going?,2003,日本テレビ系ドラマ「よい子の味方～新米保育士物語～」主題歌,作詞・作曲・編曲：オオヤギヒロト,シングル
冬のニオイ,とまどいながら | ウラ嵐マニア,2003,,作詞・作曲：girls talk / 作曲：石塚知生,カップリング
君がいいんだ,とまどいながら | ウラ嵐マニア,2003,,作詞：戸田暢美 / Rap詞：SHOW / 作曲：清水昭男 / 編曲：宗像仁志,カップリング
コイゴコロ,とまどいながら | ウラ嵐マニア,2003,フジテレビ系「2003春の高校バレー」イメージソング,作詞・作曲：SILAS LEE / 編曲：安部潤,カップリング
ハダシの未来,ハダシの未来/言葉より大切なもの | いざッ、Now,2003,ザ コカ・コーラカンパニー「コカコーラ」CMソング,作詞・作曲：宮﨑歩 / 編曲：CHOKKAKU,シングル
言葉より大切なもの,ハダシの未来/言葉より大切なもの | いざッ、Now,2003,TBS系ドラマ「Stand Up!!」主題歌,作詞：TAKESHI / Rap詞：櫻井翔 / 作曲：飯田建彦 / 編曲：石塚知生,シングル
Crazy groundの王様,How's it going?,2003,,作詞：ma-saya / Rap詞：櫻井翔 / 作曲・編曲：大野宏明,アルバム
Lucky Man,How's it going? | 5×5 THE BEST SELECTION OF 2002←2004,2003,,作詞：尾崎雪絵 / Rap詞：櫻井翔 / 作曲：飯田建彦 / 編曲：大坪直樹,アルバム
身長差のない恋人,How's it going?,2003,,作詞：TAKESHI / 作曲・編曲：長岡成貢,アルバム
ONLY LOVE,How's it going?,2003,,"作詞：阿閉真琴 / 作曲：Ashley Cadell, BJ Caruama, John Collins / 編曲：石塚知生",アルバム
嵐のまえの静けさ,How's it going?,2003,,作詞：阿閉真琴 / 作曲：清水昭男 / 編曲：ha-j,アルバム
Blue,How's it going? | 5×5 THE BEST SELECTION OF 2002←2004,2003,,作詞・作曲：森元浩介 / 編曲：ha-j,アルバム
Walking in the rain,How's it going?,2003,,"作詞：SPIN / 作曲：Brian Hobbs, Jany Schella, Christian Svensson",アルバム
パレット,How's it going?,2003,,作詞：TAKESHI / Rap詞：櫻井翔 / 作曲・編曲：岩田雅之,アルバム
できるだけ,How's it going?,2003,,作詞：相田毅 / 作曲：森元康介 / 編曲：大坪直樹,アルバム
テ・アゲロ,How's it going?,2003,,作詞：久保田洋司 / 作曲：Patrick LIOTARD / 編曲：CHOKKAKU,アルバム
15th Moon,How's it going?,2003,,作詞：久保田洋司 / 作曲・編曲：Face 2 fAKE,アルバム
どんな言葉で,How's it going?,2003,,作詞・作曲・編曲：荒木真樹彦,アルバム
PIKA★★NCHI DOUBLE,PIKA★★NCHI DOUBLE | いざッ、Now,2004,映画「ピカ☆☆ンチ LIFE IS HARDだからHAPPY」主題歌,作詞：SPIN / Rap詞：櫻井翔 / 作曲：森元康介 / 編曲：石塚知生,シングル
五里霧中,PIKA★★NCHI DOUBLE | ウラ嵐マニア,2004,,作詞：久保田洋司 / Rap詞：櫻井翔 / 作曲：オオヤギヒロオ / 編曲：ha-j,カップリング
"道 DOUBLE Ver,",PIKA★★NCHI DOUBLE,2004,映画「ピカ☆☆ンチ LIFE IS HARDだからHAPPY」挿入歌,作詞：河原雅彦 / 作曲・編曲：辻陽,カップリング
瞳の中のGalaxy,瞳の中のGalaxy/Hero,2004,テレビ朝日系ドラマ「南くんの恋人」主題歌,作詞・作曲：藤井フミヤ / 編曲：CHOKKAKU,シングル
Hero,瞳の中のGalaxy/Hero,2004,日本テレビ系「2004 アテネオリンピック」イメージソング,作詞：SPIN / 作曲：谷本新 / 編曲：石塚知生,シングル
Hey Hey Lovin' You,瞳の中のGalaxy/Hero | ウラ嵐マニア,2004,,作詞：久世まりあ / 作曲：コモリタミノル / 編曲：CHOKKAKU,カップリング
JAM,いざッ、Now,2004,,"作詞：久保田洋司 / 作曲：Tobias Lindell, Joel Eriksson, Victor Wiszniewski / 編曲：岩田雅之",アルバム
The Bubble,いざッ、Now,2004,,"作詞：SPIN / Rap詞：櫻井翔 / 作曲：Peter Bjorklund, Joel Eriksson / 編曲：AKIRA",アルバム
Thank you for my days,いざッ、Now,2004,,作詞：TAKESHI / 作曲・編曲：岩田雅之,アルバム
EYES WITH DELIGHT,いざッ、Now,2004,,作詞：久保田洋司 / Rap詞：櫻井翔 / 作曲：コモリタミノル / 編曲：石塚知生,アルバム
RIGHT BACK TO YOU,いざッ、Now | 5×5 THE BEST SELECTION OF 2002←2004,2004,'04夏PARCOグランバザールCMソング,"作詞：SPIN / Rap詞：櫻井翔 / 作曲：Peter Bjorklund, Joel Eriksson / 編曲：ha-j",アルバム
RAINBOW,いざッ、Now,2004,,作詞：久保田洋司 / Rap詞：櫻井翔 / 作曲：コモリタミノル / 編曲：石塚知生,アルバム
優しくって少しバカ,いざッ、Now,2004,,作詞・作曲：井上貴志 / 編曲：ha-j,アルバム
Dear My Friend,いざッ、Now,2004,,作詞：小川貴史 / 作曲・編曲：関淳二郎,アルバム
君だけを想ってる,いざッ、Now,2004,,作詞：久保田洋司 / 作曲：馬飼野康二 / 編曲：大坪直樹,アルバム
チェックのマフラー,いざッ、Now,2004,,作詞：TAKESHI / 作曲：森元康介 / 編曲：岩田雅之,アルバム
途中下車,いざッ、Now | 5×5 THE BEST SELECTION OF 2002←2004,2004,,作詞：SPIN / 作曲：森元康介 / 編曲：岩田雅之,アルバム
La tormenta 2004,5×5 THE BEST SELECTION OF 2002←2004,2004,,作詞：ミウラタカシ / Rap詞：櫻井翔 / 作曲・編曲：吉岡たく,アルバム
スケッチ,スケッチ | ウラ嵐マニア,2004,,"作詞：二宮和也, 櫻井翔 / 作曲：二宮和也 / 編曲：ha-j, 櫻井翔, 二宮和也",アルバム
サクラ咲ケ,サクラ咲ケ | One,2005,城南予備校 CMソング,作詞：相田毅 / Rap詞：櫻井翔 / 作曲：谷本新 / 編曲：石塚知生,シングル
手つなごぉ,サクラ咲ケ | ウラ嵐マニア,2005,,作詞：樽木栄一郎 / 作曲・編曲：AKIRA,カップリング
WISH,WISH | ARASHIC,2005,TBS系ドラマ「花より男子」主題歌/静岡放送「みちブラっ!静岡十八番」エンディングテーマ,作詞：久保田洋司 / 作曲：オオヤギヒロオ / 編曲：CHOKKAKU,シングル
イチオクノホシ,WISH | ウラ嵐マニア,2005,,作詞：SPIN / 作曲：Kazz / 編曲：ha-j,カップリング
二人の記念日,WISH | ウラ嵐マニア,2005,,作詞・作曲：安田信二 / Rap詞：櫻井翔,カップリング
夏の名前,One,2005,,"作詞：hamai / Rap詞：櫻井翔 / 作曲：原田勝通 / 編曲：ha-j, 吉岡たく",アルバム
ROMANCE,One,2005,,作詞：HigherF / 作曲：ジョーイ・カボーン / 編曲：大坪直樹,アルバム
Lai-Lai-Lai,One,2005,,"作詞：SPIN / 作曲：磯崎健史 / 編曲：ha-j, 吉岡たく",アルバム
Days,One,2005,,作詞：北川暁 / 作曲：宮﨑歩 / 編曲：長岡成貢,アルバム
素晴らしき世界,One,2005,フジテレビ系「まごまご嵐」エンディングソング,"作詞：オーノカズナリ, SPIN / Rap詞：櫻井翔 / 作曲：宮下典由 / 編曲：石塚知生",アルバム
Yes? No?,One,2005,,作詞：相田毅 / Rap詞：櫻井翔 / 作曲：谷本新 / 編曲：石塚知生,アルバム
風見鶏,One,2005,,作詞・作曲：依田和夫 / 編曲：岩田雅之,アルバム
きっと大丈夫,きっと大丈夫 | ARASHIC,2006,ハウスウェルネスフーズ「C1000×嵐編」CMソング,作詞：SPIN / Rap詞：櫻井翔 / 作曲・編曲：Shinnosuke,シングル
春風スニーカー,きっと大丈夫 | ウラ嵐マニア,2006,花王「8×4パウダースプレー」CMソング,作詞：北川暁 / 作曲：Trevor Ingram / 編曲：CHOKKAKU,カップリング
NA! NA! NA!!,きっと大丈夫 | ウラ嵐マニア,2006,,作詞：SPIN / Rap詞：櫻井翔 / 作曲：飯田建彦 / 編曲：ha-j,カップリング
アオゾラペダル,アオゾラペダル | Time,2006,映画「ハチミツとクローバー」エンディングテーマ,作詞・作曲：スガシカオ / 編曲：石塚知生,シングル
Kissからはじめよう,アオゾラペダル | ウラ嵐マニア,2006,花王「8×4パウダースプレー」CMソング,作詞：youth case / 作曲：velvetronica / 編曲：ha-j,カップリング
夏の終わりに想うこと,アオゾラペダル | ウラ嵐マニア,2006,,作詞：小川貴史 / 作曲・編曲：上野浩司,カップリング
ランナウェイ・トレイン,ARASHIC,2006,,"作詞：SPIN / Rap詞：櫻井翔 / 作曲：Anthony Little, Rick Kelly / 編曲：鈴木雅也",アルバム
Raise Your Hands,ARASHIC,2006,,"作詞：SPIN / Rap詞：櫻井翔 / 作曲：Stefan Olsson, Tim Norell / 編曲：安部潤",アルバム
Ready To Fly,ARASHIC,2006,,作詞：masa-ya / 作曲：家原正樹 / 編曲：石塚知生,アルバム
キャラメル・ソング,ARASHIC,2006,,作詞：小川貴史 / 作曲：松下典由 / 編曲：高橋哲也,アルバム
COOL & SOUL,ARASHIC,2006,,作詞：SPIN / All Rap presented by 櫻井翔 / 作曲・編曲：吉岡たく,アルバム
旅立ちの朝,ARASHIC,2006,,"作詞：SPIN / 作曲・編曲：Shusui, Stefan Aberg, Fredrik Hult, Ola Larsson",アルバム
I Want Somebody,ARASHIC,2006,,"作詞：Axel G / 作曲・編曲：Shusui, Stefan Aberg, Fredrik Hult, Ola Larsson",アルバム
Secret Eyes,ARASHIC,2006,,作詞：Erykah / Rap詞：櫻井翔 / 作曲：Gajin / 編曲：岩田雅之,アルバム
超²ありがとう,ARASHIC,2006,,"作詞：Erykah / 作曲：Henrik Rongedal, Maguns Rongedal / 編曲：岩田雅之",アルバム
CARNIVAL NIGHT part2,ARASHIC,2006,,作詞：久保田洋司 / 作曲：上野浩司 / 編曲：長岡成貢,アルバム
シルバーリング,ARASHIC,2006,,作詞：山本成美 / 作曲：北川吟 / 編曲：若草恵,アルバム
LOVE PARADE,ARASHIC,2006,,"作詞：仲山卯月 / 作曲：土井瞬, 土岐健一 / 編曲：船山基紀",アルバム
Love so sweet,Love so sweet | Time,2007,TBS系ドラマ「花より男子2」主題歌/キリン「午後の紅茶」CMソング,作詞：SPIN / 作曲：youth case / 編曲：Mugen,シングル
いつまでも,Love so sweet | ウラ嵐マニア,2007,,作詞：SPIN / Rap詞：櫻井翔 / 作曲：多田慎也 / 編曲：ha-j,カップリング
ファイトソング,Love so sweet | ウラ嵐マニア,2007,日本テレビ系「Gの嵐!」公式応援歌,作詞：嵐 / 作曲：二宮和也 / 編曲：北川吟,カップリング
We can make it!,We can make it! | Time,2007,日本テレビ系ドラマ「バンビ～ノ!」主題歌,"作詞：UNITe / Rap詞：櫻井翔 / 作曲：Ander Wikstrom, Fredrik Thomander / 編曲：鈴木雅也",シングル
Di-Li-Li,We can make it! | ウラ嵐マニア,2007,ハウスウェルネスフーズ「C1000」CMソング/C1000×嵐'07キャンペーンソング,作詞・作曲：北川暁 / Rap詞：櫻井翔 / 編曲：鈴木雅也,カップリング
Future,We can make it! | ウラ嵐マニア,2007,,作詞・作曲：100+ / Rap詞：櫻井翔 / 編曲：ha-j,カップリング
Happiness,"Happiness | Dream""A""live",2007,TBS系ドラマ「山田太郎ものがたり」主題歌,作詞：Wonderland / 作曲：岡田実音 / 編曲：北川吟,シングル
Still...,Happiness | ウラ嵐マニア,2007,フジテレビ系「まごまご嵐」エンディングソング/TBS系「ひみつの嵐ちゃん!」最終回エンディング曲,作詞・作曲：多田慎也 / Rap詞：櫻井翔 / 編曲：NAOKI-T,カップリング
Snowflake,Happiness | ウラ嵐マニア,2007,,作詞：小川貴史 / 作曲・編曲：HYDRANT,カップリング
Oh Yeah!,Time,2007,ハウスウェルネスフーズ「C1000レモンウォーター」CMソング,作詞：UNITe / 作曲：オーノカズナリ / 編曲：北川吟,アルバム
WAVE,Time,2007,,作詞：UNITe / Rap詞：櫻井翔 / 作曲：Erik Lidbom / 編曲：安部潤,アルバム
Firefly,Time,2007,,作詞：Makoto ATOZI / Rap詞：櫻井翔 / 作曲・編曲：笹本安詞,アルバム
太陽の世界,Time,2007,,作詞・作曲：HYDRANT / Rap詞：櫻井翔 / 編曲：大坪直樹,アルバム
Carry on,Time,2007,,作詞：村野直球 / 作曲・編曲：岩田雅之,アルバム
ROCK YOU,Time,2007,,作詞：youth case / Rap詞：櫻井翔 / 作曲・編曲：Takuya Harada,アルバム
Cry for you,Time,2007,,"作詞：Axel G / Rap詞：櫻井翔 / 作曲：Jorge Ringqvist, Jakob Ringbom / 編曲：ha-j",アルバム
Love Situation,Time,2007,,作詞：はしもとみゆき / 作曲・編曲：Shinnosuke,アルバム
風,Time,2007,,作詞：SPIN / Rap詞：櫻井翔 / 作曲：多田慎也 / 編曲：NAOKI-T,アルバム
Be with you,Time,2007,,作詞・作曲：北浦正尚 / 編曲：ha-j,アルバム
LIFE,Time,2007,エイブル CMソング,作詞：みうらともかず / Rap詞：櫻井翔 / 作曲：オーノカズナリ / 編曲：石塚知生,アルバム
Everybody前進,Time,2007,,"作詞：久保田洋司 / 作曲・編曲：Shusui, Stefan Åberg",アルバム
Step and Go,"Step and Go | Dream""A""live",2008,フジテレビ系「GRA」エンディングテーマ,作詞：Wonderland / Rap詞：櫻井翔 / 作曲：youth case / 編曲：吉岡たく,シングル
冬を抱きしめて,Step and Go | ウラ嵐マニア,2008,,作詞：藤瀬聖・杉山勝彦 / 作曲：杉山勝彦 / 編曲：石塚知生 ,カップリング
One Love,One Love,2008,映画「花より男子F」主題歌,作詞：youth case / 作曲：加藤裕介 / 編曲：石塚知生,シングル
How to fly,One Love | ウラ嵐マニア,2008,,"作詞：UNITe / 作曲：R.P.P., Anderz Wrethov",カップリング
truth,truth/風の向こうへ,2008,TBS系ドラマ「魔王」主題歌,作詞・作曲：HYDRANT / 編曲：前口渉,シングル
風の向こうへ,truth/風の向こうへ,2008,日本テレビ系「GO!北京」テーマソング,"作詞：多田慎也 / Rap詞：櫻井翔 / 作曲：Pippi Svensson, Ander Dannvik / 編曲：Hans Johnson",シングル
スマイル,truth/風の向こうへ | ウラ嵐マニア,2008,ハウス食品「とんがりコーン」嵐スケートボード編CMソング,"作詞・作曲：Erik Lidbom, youth case / 編曲：北川吟",カップリング
Beautiful days,Beautiful days,2008,TBS系ドラマ「流星の絆」主題歌,作詞・作曲：Takuya Harada / 編曲：ha-j,シングル
僕が僕のすべて,Beautiful days | ウラ嵐マニア,2008,au by KDDI「au BOX」CMソング,作詞：100+ / 作曲・編曲：加藤裕介,カップリング
忘れられない,Beautiful days | ウラ嵐マニア,2008,,作詞：Arika / 作曲：HIKARI / 編曲：佐々木博史,カップリング
Move your body,"Dream""A""live",2008,,作詞：HYDRANT / Rap詞：櫻井翔 / 作曲：Mike Rose / 編曲：ha-j,アルバム
